title,authors,date,page
Exploring the New Playing Field: The Input-Output Principle of Meta-Sports,"['Daniel Westmattelmann', 'Benedikt Stoffers', 'Julian Märtins', 'Xiao Xiao']","Published online: 17 Feb 2025 (Vol.42, No.1, 2025)",1
Creating and Capturing Value with Physical-Digital Experiential Consumer Offerings,"['Johanna Lorenz', 'Leona Chandra Kruse', 'Jan Recker']","Published online: 4 Sep 2024 (Vol.41, No.3, 2024)",1
The Effect of Digital Platform Strategies on Firm Value in the Banking Industry,"['Maximilian Schreieck', 'Yongli Huang', 'Alexander Kupfer', 'Helmut Krcmar']","Published online: 24 Jun 2024 (Vol.41, No.2, 2024)",1
Cash or Non-Cash? Exploring Ideators’ Incentive Preferences in Crowdsourcing Contests,"['Christoph Riedl', 'Johann Füller', 'Katja Hutter', 'Gerard J. Tellis']","Published online: 24 Jun 2024 (Vol.41, No.2, 2024)",1
The Impact of Social Comparison on Turnover Among Information Technology Professionals,"['Manuel Wiesche', 'Christoph Pflügler', 'Jason Bennett Thatcher']","Published online: 19 Feb 2024 (Vol.41, No.1, 2024)",1
Optimization of Dynamic Product Offerings on Online Marketplaces: A Network Theory Perspective,"['Meihua Zuo', 'Spyros Angelopoulos', 'Carol Xiaojuan Ou', 'Hongwei Liu', 'Zhouyang Liang']","Published online: 11 Dec 2023 (Vol.40, No.4, 2023)",1
Stigmergy in Open Collaboration: An Empirical Investigation Based on Wikipedia,"['Lei (Nico) Zheng', 'Feng Mai', 'Bei Yan', 'Jeffrey V. Nickerson']","Published online: 23 Aug 2023 (Vol.40, No.3, 2023)",1
Thinking Fast and Thinking Slow: Digital Devices’ Effects on Cognitive Reflection,"['Kathrin Figl', 'Ulrich Remus']","Published online: 17 Jun 2023 (Vol.40, No.2, 2023)",1
SocioLink: Leveraging Relational Information in Knowledge Graphs for Startup Recommendations,"['Ruiyun Xu', 'Hailiang Chen', 'J. Leon Zhao']","Published online: 17 Jun 2023 (Vol.40, No.2, 2023)",1
Blood and Water: Information Technology Investment and Control in Family-owned Businesses,"['Abhishek Kathuria', 'Prasanna P. Karhade', 'Xue (Nancy) Ning', 'Benn R. Konsynski']","Published online: 30 Mar 2023 (Vol.40, No.1, 2023)",1
